==3100== Memcheck, a memory error detector
==3100== Copyright (C) 2002-2022, and GNU GPL'd, by Julian Seward et al.
==3100== Using Valgrind-3.19.0 and LibVEX; rerun with -h for copyright info
==3100== Command: ./bank input-1.txt
==3100== 
Current Savings Balance for 9980216556183046: 2243715.94
Current Savings Balance for 3491588839892013: 4038064.98
Current Savings Balance for 6847226299857821: 311804.27
Current Savings Balance for 4659001911688512: 558622.77
Current Savings Balance for 9980216556183046: 2243818.11
Current Savings Balance for 0793710490620664: 4659739.67
Current Savings Balance for 6847226299857821: 313472.52
Current Savings Balance for 2076962079974167: 4229142.05
Current Savings Balance for 8255171551994747: 3292901.52
Current Savings Balance for 6847226299857821: 309515.82
Current Savings Balance for 2076962079974167: 4231773.48
Current Savings Balance for 0793710490620664: 4658291.60
Current Savings Balance for 2076962079974167: 4230379.16
Current Savings Balance for 8255171551994747: 3288796.39
Current Savings Balance for 0793710490620664: 4659866.46
Current Savings Balance for 4659001911688512: 561383.22
Current Savings Balance for 9980216556183046: 2238849.82
Current Savings Balance for 4659001911688512: 561821.36
Current Savings Balance for 9980216556183046: 2238546.22
Current Savings Balance for 6847226299857821: 318314.68
Current Savings Balance for 3491588839892013: 4035410.15
Current Savings Balance for 3491588839892013: 4035363.35
Current Savings Balance for 3491588839892013: 4035363.35
Current Savings Balance for 6847226299857821: 326297.61
Current Savings Balance for 8028716243309826: 1539591.45
Current Savings Balance for 0793710490620664: 4657218.98
Current Savings Balance for 8255171551994747: 3285241.06
Current Savings Balance for 4659001911688512: 563634.85
Current Savings Balance for 3491588839892013: 4039864.03
Current Savings Balance for 0793710490620664: 4656721.05
Current Savings Balance for 4659001911688512: 563074.11
Current Savings Balance for 3491588839892013: 4039434.49
Current Savings Balance for 6847226299857821: 337023.76
Current Savings Balance for 6847226299857821: 337023.76
Current Savings Balance for 3491588839892013: 4038988.67
Current Savings Balance for 8255171551994747: 3284389.34
Current Savings Balance for 9980216556183046: 2238463.08
Current Savings Balance for 2076962079974167: 4219753.71
